item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,material_id
1,word2_control,pressed,subject2,the guest,context2,"arriving at the front desk, ",1,song,"arriving at the front desk, the guest","arriving at the front desk, the guest pressed the",pressed,the,song,Did,sing,"arriving at the front desk, the guest pressed the song",Did the guest sing the song?,8,115
2,random,jubkls,neutral,he,context2,"in the darkness, ",1,key,"in the darkness, he","in the darkness, he jubkls the",jubkls,the,key,Does,turn,"in the darkness, he jubkls the key",Does he turn the key?,8,117
3,word1,is packing,subject2,the gardener,context1,"in the hotel, ",1,bag,"in the hotel, the gardener","in the hotel, the gardener is packing the",is packing,the,bag,Is,packing,"in the hotel, the gardener is packing the bag",Is the gardener packing the bag?,8,106
4,word2,bent,subject2,the gymnast,nocontext,,1,letter,the gymnast,the gymnast bent his,bent,his,letter,Did,send,the gymnast bent his letter,Did the gymnast send his letter?,8,119
5,word1,will bear,subject1,the leader,context1,"when confronted by the challenge, ",1,responsibility,"when confronted by the challenge, the leader","when confronted by the challenge, the leader will bear the",will bear,the,responsibility,Will,bear,"when confronted by the challenge, the leader will bear the responsibility",Will the leader bear the responsibility?,8,111
6,word2,polls,subject1,the visitor,context1,"at the entrance, ",1,door,"at the entrance, the visitor","at the entrance, the visitor polls the",polls,the,door,Does,pull,"at the entrance, the visitor polls the door",Does the visitor pull the door?,8,114
7,word1,kicked,neutral,he,context2,"in the restaurant, ",1,ball,"in the restaurant, he","in the restaurant, he kicked the",kicked,the,ball,Did,kick,"in the restaurant, he kicked the ball",Did he kick the ball?,8,108
8,nonword,is fillibg,subject2,the bored person,nocontext,,1,form,the bored person,the bored person is fillibg the,is fillibg,the,form,Is,filling,the bored person is fillibg the form,Is the bored person filling the form?,8,107
9,word2,folds,subject1,the manager,nocontext,,1,meeting,the manager,the manager folds a,folds,a,meeting,Does,hold,the manager folds a meeting,Does the manager hold a meeting?,8,120
10,nonword,is revding,neutral,he,context2,"after the manager resigned, ",1,book,"after the manager resigned, he","after the manager resigned, he is revding the",is revding,the,book,Is,reading,"after the manager resigned, he is revding the book",Is he reading the book?,8,110
11,word2_control,is cooking,subject1,the photographer,context2,"in the kitchen, ",1,photo,"in the kitchen, the photographer","in the kitchen, the photographer is cooking a",is cooking,a,photo,Is,taking,"in the kitchen, the photographer is cooking a photo",Is the photographer taking a photo?,8,113
12,random,jiasodhuos,subject2,the speculator,nocontext,,1,person,the speculator,the speculator jiasodhuos the,jiasodhuos,the,person,Does,save,the speculator jiasodhuos the person,Does the speculator save the person?,8,116
13,random,ajifoased,neutral,he,context1,"in the exam, ",1,note,"in the exam, he","in the exam, he ajifoased a",ajifoased,a,note,Did,slip,"in the exam, he ajifoased a note",Did he slip a note?,8,118
14,nonword,rkdes,subject1,the cyclist,context1,"in the park, ",1,bike,"in the park, the cyclist","in the park, the cyclist rkdes a",rkdes,a,bike,Does,ride,"in the park, the cyclist rkdes a bike",Does the cyclist ride a bike?,8,109
15,word2_control,experiences,neutral,he,nocontext,,1,orange,he,he experiences an,experiences,an,orange,Does,peel,he experiences an orange,Does he peel an orange?,8,112
