item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,answer1,answer2,question_delay,correct_answer,with_question,material_id
1,word1,is packing,subject1,the traveler,nocontext,,1,bag,the traveler,the traveler is packing the,is packing,the,bag,Is,packing,the traveler is packing the bag,Is the traveler packing the bag?,4,Yes,No,0,0,true,10
2,nonword,is fillibg,subject1,the applicant,context2,"on the train, ",1,form,"on the train, the applicant","on the train, the applicant is fillibg the",is fillibg,the,form,Is,filling,"on the train, the applicant is fillibg the form",Is the applicant filling the form?,4,Yes,No,0,0,true,12
3,word1,kicked,subject2,the child with a sweet tooth,context1,"on the playground, ",1,ball,"on the playground, the child with a sweet tooth","on the playground, the child with a sweet tooth kicked the",kicked,the,ball,Did,kick,"on the playground, the child with a sweet tooth kicked the ball",Did the child with a sweet tooth kick the ball?,4,Yes,No,0,0,true,1
4,nonword,rkdes,neutral,he,nocontext,,1,bike,he,he rkdes a,rkdes,a,bike,Does,ride,he rkdes a bike,Does he ride a bike?,4,Yes,No,0,0,true,14
5,nonword,is revding,subject2,the coach,context1,"in the library, ",1,book,"in the library, the coach","in the library, the coach is revding the",is revding,the,book,Is,reading,"in the library, the coach is revding the book",Is the coach reading the book?,4,Yes,No,0,0,true,6
6,word1,will bear,neutral,he,nocontext,,1,responsibility,he,he will bear the,will bear,the,responsibility,Will,bear,he will bear the responsibility,Will he bear the responsibility?,4,Yes,No,0,0,true,9
7,word2_control,experiences,subject2,the man rushing to catch a train,context2,"in the waiting line, ",1,orange,"in the waiting line, the man rushing to catch a train","in the waiting line, the man rushing to catch a train experiences an",experiences,an,orange,Does,peel,"in the waiting line, the man rushing to catch a train experiences an orange",Does the man rushing to catch a train peel an orange?,4,Yes,No,0,0,true,3
8,word2_control,is cooking,neutral,he,context1,"in the film studio, ",1,photo,"in the film studio, he","in the film studio, he is cooking a",is cooking,a,photo,Is,taking,"in the film studio, he is cooking a photo",Is he taking a photo?,4,Yes,No,0,0,true,2
9,word2,polls,neutral,he,nocontext,,1,door,he,he polls the,polls,the,door,Does,pull,he polls the door,Does he pull the door?,4,Yes,No,0,0,true,15
10,word2_control,pressed,subject1,the troubadour,context1,"on the stage in the tavern, ",1,song,"on the stage in the tavern, the troubadour","on the stage in the tavern, the troubadour pressed the",pressed,the,song,Did,sing,"on the stage in the tavern, the troubadour pressed the song",Did the troubadour sing the song?,4,Yes,No,0,0,true,5
11,random,jiasodhuos,subject1,the firefighter,context2,"at the post office, ",1,person,"at the post office, the firefighter","at the post office, the firefighter jiasodhuos the",jiasodhuos,the,person,Does,save,"at the post office, the firefighter jiasodhuos the person",Does the firefighter save the person?,4,Yes,No,0,0,true,8
12,random,jubkls,subject2,the match,context1,"outside the apartment entrance, ",1,key,"outside the apartment entrance, the match","outside the apartment entrance, the match jubkls the",jubkls,the,key,Does,turn,"outside the apartment entrance, the match jubkls the key",Does the match turn the key?,4,Yes,No,0,0,true,11
13,random,ajifoased,subject2,the gambler,nocontext,,1,note,the gambler,the gambler ajifoased a,ajifoased,a,note,Did,slip,the gambler ajifoased a note,Did the gambler slip a note?,4,Yes,No,0,0,true,13
14,word2,bent,subject1,the mailman,context2,"in the dance studio, ",1,letter,"in the dance studio, the mailman","in the dance studio, the mailman bent his",bent,his,letter,Did,send,"in the dance studio, the mailman bent his letter",Did the mailman send his letter?,4,Yes,No,0,0,true,4
15,word2,folds,neutral,he,context2,"in an art class, ",1,meeting,"in an art class, he","in an art class, he folds a",folds,a,meeting,Does,hold,"in an art class, he folds a meeting",Does he hold a meeting?,4,Yes,No,0,0,true,7
