item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,answer1,answer2,question_delay,correct_answer,with_question,material_id
1,word1,is packing,subject1,the traveler,context2,"in the nursery, ",1,bag,"in the nursery, the traveler","in the nursery, the traveler is packing the",is packing,the,bag,Is,packing,"in the nursery, the traveler is packing the bag",Is the traveler packing the bag?,6,Yes,No,0,0,True,10
2,nonword,is fillibg,subject1,the applicant,context1,"before the interview, ",1,form,"before the interview, the applicant","before the interview, the applicant is fillibg the",is fillibg,the,form,Is,filling,"before the interview, the applicant is fillibg the form",Is the applicant filling the form?,6,Yes,No,0,0,True,12
3,word1,kicked,subject2,the child with a sweet tooth,nocontext,,1,ball,the child with a sweet tooth,the child with a sweet tooth kicked the,kicked,the,ball,Did,kick,the child with a sweet tooth kicked the ball,Did the child with a sweet tooth kick the ball?,6,Yes,No,0,0,True,1
4,nonword,rkdes,neutral,he,context2,"on a mission, ",1,bike,"on a mission, he","on a mission, he rkdes a",rkdes,a,bike,Does,ride,"on a mission, he rkdes a bike",Does he ride a bike?,6,Yes,No,0,0,True,14
5,nonword,is revding,subject2,the coach,nocontext,,1,book,the coach,the coach is revding the,is revding,the,book,Is,reading,the coach is revding the book,Is the coach reading the book?,6,Yes,No,0,0,True,6
6,word1,will bear,neutral,he,context2,"in tomorrow's Olympic game, ",1,responsibility,"in tomorrow's Olympic game, he","in tomorrow's Olympic game, he will bear the",will bear,the,responsibility,Will,bear,"in tomorrow's Olympic game, he will bear the responsibility",Will he bear the responsibility?,6,Yes,No,0,0,True,9
7,word2_control,experiences,subject2,the man rushing to catch a train,context1,"in the fruit market, ",1,orange,"in the fruit market, the man rushing to catch a train","in the fruit market, the man rushing to catch a train experiences an",experiences,an,orange,Does,peel,"in the fruit market, the man rushing to catch a train experiences an orange",Does the man rushing to catch a train peel an orange?,6,Yes,No,0,0,True,3
8,word2_control,is cooking,neutral,he,nocontext,,1,photo,he,he is cooking a,is cooking,a,photo,Is,taking,he is cooking a photo,Is he taking a photo?,6,Yes,No,0,0,True,2
9,word2,polls,neutral,he,context2,"on a game show, ",1,door,"on a game show, he","on a game show, he polls the",polls,the,door,Does,pull,"on a game show, he polls the door",Does he pull the door?,6,Yes,No,0,0,True,15
10,word2_control,pressed,subject1,the troubadour,nocontext,,1,song,the troubadour,the troubadour pressed the,pressed,the,song,Did,sing,the troubadour pressed the song,Did the troubadour sing the song?,6,Yes,No,0,0,True,5
11,random,jiasodhuos,subject1,the firefighter,context1,"in that fire, ",1,person,"in that fire, the firefighter","in that fire, the firefighter jiasodhuos the",jiasodhuos,the,person,Does,save,"in that fire, the firefighter jiasodhuos the person",Does the firefighter save the person?,6,Yes,No,0,0,True,8
12,random,jubkls,subject2,the match,nocontext,,1,key,the match,the match jubkls the,jubkls,the,key,Does,turn,the match jubkls the key,Does the match turn the key?,6,Yes,No,0,0,True,11
13,random,ajifoased,subject2,the gambler,context2,"in the casino, ",1,note,"in the casino, the gambler","in the casino, the gambler ajifoased a",ajifoased,a,note,Did,slip,"in the casino, the gambler ajifoased a note",Did the gambler slip a note?,6,Yes,No,0,0,True,13
14,word2,bent,subject1,the mailman,context1,"at the post office, ",1,letter,"at the post office, the mailman","at the post office, the mailman bent his",bent,his,letter,Did,send,"at the post office, the mailman bent his letter",Did the mailman send his letter?,6,Yes,No,0,0,True,4
15,word2,folds,neutral,he,context1,"on the first day after the Christmas holiday, ",1,meeting,"on the first day after the Christmas holiday, he","on the first day after the Christmas holiday, he folds a",folds,a,meeting,Does,hold,"on the first day after the Christmas holiday, he folds a meeting",Does he hold a meeting?,6,Yes,No,0,0,True,7
