item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,answer1,answer2,question_delay,correct_answer,with_question,material_id
1,word2,is picking,neutral,he,context1,"in the hotel, ",1,bag,"in the hotel, he","in the hotel, he is picking the",is picking,the,bag,Is,packing,"in the hotel, he is picking the bag",Is he packing the bag?,11,Yes,No,0,0,True,10
2,random,is habsdeing,neutral,he,nocontext,,1,form,he,he is habsdeing the,is habsdeing,the,form,Is,filling,he is habsdeing the form,Is he filling the form?,11,Yes,No,0,0,True,12
3,word2,licked,subject1,the soccer player,context2,"in the restaurant, ",1,ball,"in the restaurant, the soccer player","in the restaurant, the soccer player licked the",licked,the,ball,Did,kick,"in the restaurant, the soccer player licked the ball",Did the soccer player kick the ball?,11,Yes,No,0,0,True,1
4,random,asdafes,subject2,the spy,context1,"in the park, ",1,bike,"in the park, the spy","in the park, the spy asdafes a",asdafes,a,bike,Does,ride,"in the park, the spy asdafes a bike",Does the spy ride a bike?,11,Yes,No,0,0,True,14
5,random,is ujmnking,subject1,the bookworm,context2,"after the manager resigned, ",1,book,"after the manager resigned, the bookworm","after the manager resigned, the bookworm is ujmnking the",is ujmnking,the,book,Is,reading,"after the manager resigned, the bookworm is ujmnking the book",Is the bookworm reading the book?,11,Yes,No,0,0,True,6
6,word2,will beat,subject2,the athlete,context1,"when confronted by the challenge, ",1,responsibility,"when confronted by the challenge, the athlete","when confronted by the challenge, the athlete will beat the",will beat,the,responsibility,Will,bear,"when confronted by the challenge, the athlete will beat the responsibility",Will the athlete bear the responsibility?,11,Yes,No,0,0,True,9
7,nonword,jeels,subject1,the fruit seller,nocontext,,1,orange,the fruit seller,the fruit seller jeels an,jeels,an,orange,Does,peel,the fruit seller jeels an orange,Does the fruit seller peel an orange?,11,Yes,No,0,0,True,3
8,nonword,is vaking,subject2,the baker,context2,"in the kitchen, ",1,photo,"in the kitchen, the baker","in the kitchen, the baker is vaking a",is vaking,a,photo,Is,taking,"in the kitchen, the baker is vaking a photo",Is the baker taking a photo?,11,Yes,No,0,0,True,2
9,word2_control,surveys,subject2,the host,context1,"at the entrance, ",1,door,"at the entrance, the host","at the entrance, the host surveys the",surveys,the,door,Does,pull,"at the entrance, the host surveys the door",Does the host pull the door?,11,Yes,No,0,0,True,15
10,nonword,savg,neutral,he,context2,"arriving at the front desk, ",1,song,"arriving at the front desk, he","arriving at the front desk, he savg the",savg,the,song,Did,sing,"arriving at the front desk, he savg the song",Did he sing the song?,11,Yes,No,0,0,True,5
11,word1,saves,neutral,he,nocontext,,1,person,he,he saves the,saves,the,person,Does,save,he saves the person,Does he save the person?,11,Yes,No,0,0,True,8
12,word1,turns,subject1,the tenant,context2,"in the darkness, ",1,key,"in the darkness, the tenant","in the darkness, the tenant turns the",turns,the,key,Does,turn,"in the darkness, the tenant turns the key",Does the tenant turn the key?,11,Yes,No,0,0,True,11
13,word1,slipped,subject1,the student,context1,"in the exam, ",1,note,"in the exam, the student","in the exam, the student slipped a",slipped,a,note,Did,slip,"in the exam, the student slipped a note",Did the student slip a note?,11,Yes,No,0,0,True,13
14,word2_control,stretched,neutral,he,nocontext,,1,letter,he,he stretched his,stretched,his,letter,Did,send,he stretched his letter,Did he send his letter?,11,Yes,No,0,0,True,4
15,word2_control,creases,subject2,the artist,nocontext,,1,meeting,the artist,the artist creases a,creases,a,meeting,Does,hold,the artist creases a meeting,Does the artist hold a meeting?,11,Yes,No,0,0,True,7
