item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,material_id
1,random,suehrged,subject2,the guest,context2,"arriving at the front desk, ",1,song,"arriving at the front desk, the guest","arriving at the front desk, the guest suehrged the",suehrged,the,song,Did,sing,"arriving at the front desk, the guest suehrged the song",Did the guest sing the song?,26,385
2,word2,burns,neutral,he,context2,"in the darkness, ",1,key,"in the darkness, he","in the darkness, he burns the",burns,the,key,Does,turn,"in the darkness, he burns the key",Does he turn the key?,26,387
3,word2_control,is watering,subject2,the gardener,context1,"in the hotel, ",1,bag,"in the hotel, the gardener","in the hotel, the gardener is watering the",is watering,the,bag,Is,packing,"in the hotel, the gardener is watering the bag",Is the gardener packing the bag?,26,376
4,nonword,sejt,subject2,the gymnast,nocontext,,1,letter,the gymnast,the gymnast sejt his,sejt,his,letter,Did,send,the gymnast sejt his letter,Did the gymnast send his letter?,26,389
5,word2_control,will break,subject1,the leader,context1,"when confronted by the challenge, ",1,responsibility,"when confronted by the challenge, the leader","when confronted by the challenge, the leader will break the",will break,the,responsibility,Will,bear,"when confronted by the challenge, the leader will break the responsibility",Will the leader bear the responsibility?,26,381
6,nonword,oulls,subject1,the visitor,context1,"at the entrance, ",1,door,"at the entrance, the visitor","at the entrance, the visitor oulls the",oulls,the,door,Does,pull,"at the entrance, the visitor oulls the door",Does the visitor pull the door?,26,384
7,word2_control,tasted,neutral,he,context2,"in the restaurant, ",1,ball,"in the restaurant, he","in the restaurant, he tasted the",tasted,the,ball,Did,kick,"in the restaurant, he tasted the ball",Did he kick the ball?,26,378
8,word1,is filling,subject2,the bored person,nocontext,,1,form,the bored person,the bored person is filling the,is filling,the,form,Is,filling,the bored person is filling the form,Is the bored person filling the form?,26,377
9,nonword,hokds,subject1,the manager,nocontext,,1,meeting,the manager,the manager hokds a,hokds,a,meeting,Does,hold,the manager hokds a meeting,Does the manager hold a meeting?,26,390
10,word1,is reading,neutral,he,context2,"after the manager resigned, ",1,book,"after the manager resigned, he","after the manager resigned, he is reading the",is reading,the,book,Is,reading,"after the manager resigned, he is reading the book",Is he reading the book?,26,380
11,random,is ujmnking,subject1,the photographer,context2,"in the kitchen, ",1,photo,"in the kitchen, the photographer","in the kitchen, the photographer is ujmnking a",is ujmnking,a,photo,Is,taking,"in the kitchen, the photographer is ujmnking a photo",Is the photographer taking a photo?,26,383
12,word2,waves,subject2,the speculator,nocontext,,1,person,the speculator,the speculator waves the,waves,the,person,Does,save,the speculator waves the person,Does the speculator save the person?,26,386
13,word2,flipped,neutral,he,context1,"in the exam, ",1,note,"in the exam, he","in the exam, he flipped a",flipped,a,note,Did,slip,"in the exam, he flipped a note",Did he slip a note?,26,388
14,word1,rides,subject1,the cyclist,context1,"in the park, ",1,bike,"in the park, the cyclist","in the park, the cyclist rides a",rides,a,bike,Does,ride,"in the park, the cyclist rides a bike",Does the cyclist ride a bike?,26,379
15,random,mkilurs,neutral,he,nocontext,,1,orange,he,he mkilurs an,mkilurs,an,orange,Does,peel,he mkilurs an orange,Does he peel an orange?,26,382
